job_id,company,title,location,url,source
greenhouse_7270748,stripe,"Account Executive, Product Sales (BaaS)",SF,https://stripe.com/jobs/search?gh_jid=7270748,greenhouse
greenhouse_7141701,stripe,"Account Executive, Product Sales, Billing ","South San Francisco, CA; New York, NY; Seattle, WA; Chicago, IL",https://stripe.com/jobs/search?gh_jid=7141701,greenhouse
greenhouse_6889347,stripe,"Account Executive, Product Sales (Crypto/Stablecoins)",NYC,https://stripe.com/jobs/search?gh_jid=6889347,greenhouse
greenhouse_7455982,stripe,"Account Executive, Product Sales, Optimized Checkout",Remote,https://stripe.com/jobs/search?gh_jid=7455982,greenhouse
greenhouse_7302534,stripe,"Account Executive, Product Sales (Radar)","New York, Chicago, San Francisco and Seattle",https://stripe.com/jobs/search?gh_jid=7302534,greenhouse
greenhouse_7215691,stripe,"Account Executive, Product Sales, Radar (NYC)","New York, NY",https://stripe.com/jobs/search?gh_jid=7215691,greenhouse
greenhouse_7528849,stripe,"Account Executive, Product Sales (Terminal)","London, Dublin",https://stripe.com/jobs/search?gh_jid=7528849,greenhouse
greenhouse_7230030,stripe,"Account Executive, Product Sales, Terminal ","SFO, SEA, CHI, NYC",https://stripe.com/jobs/search?gh_jid=7230030,greenhouse
greenhouse_7471395,stripe,Account Executive (SMB),Singapore,https://stripe.com/jobs/search?gh_jid=7471395,greenhouse
greenhouse_7242090,stripe,"Account Executive, SMB (French Speaking)",Dublin,https://stripe.com/jobs/search?gh_jid=7242090,greenhouse
greenhouse_7247534,stripe,"Account Executive, SMB - New Business",Dublin,https://stripe.com/jobs/search?gh_jid=7247534,greenhouse
greenhouse_7277406,stripe,"Account Executive, SMB (New Business)",Chicago,https://stripe.com/jobs/search?gh_jid=7277406,greenhouse
greenhouse_7339170,stripe,"Account Executive, SMB Platforms (New Business)","Chicago, New York, San Fransisco",https://stripe.com/jobs/search?gh_jid=7339170,greenhouse
greenhouse_7339700,stripe,"Account Executive, Startup Platforms (Existing Business)","Chicago, New York, San Fransisco",https://stripe.com/jobs/search?gh_jid=7339700,greenhouse
greenhouse_7365228,stripe,"Account Executive, Startup SaaS Platforms - German Speaking",Dublin,https://stripe.com/jobs/search?gh_jid=7365228,greenhouse
greenhouse_7515082,stripe,"Account Executive, Startups (Greater China)",Singapore,https://stripe.com/jobs/search?gh_jid=7515082,greenhouse
greenhouse_7313132,stripe,"Account Executive, Startups/ SMB, Grower, New Zealand",Auckland,https://stripe.com/jobs/search?gh_jid=7313132,greenhouse
greenhouse_7364278,stripe,"Account Executive, Velocity Grower (Japanese-speaking)",Tokyo,https://stripe.com/jobs/search?gh_jid=7364278,greenhouse
greenhouse_7358785,stripe,Accounting - Legal Entity Controller,Bangalore,https://stripe.com/jobs/search?gh_jid=7358785,greenhouse
greenhouse_7520688,stripe,Administrative Coordinator,Dublin,https://stripe.com/jobs/search?gh_jid=7520688,greenhouse
greenhouse_7434713,stripe,Administrative Coordinator,Mexico City,https://stripe.com/jobs/search?gh_jid=7434713,greenhouse
greenhouse_7522231,stripe,Advertising Operations Associate,Bangalore,https://stripe.com/jobs/search?gh_jid=7522231,greenhouse
greenhouse_7453473,stripe,AEO & GEO Marketing Manager,US,https://stripe.com/jobs/search?gh_jid=7453473,greenhouse
greenhouse_7463694,stripe,AI Solutions Architect,"South San Francisco, NYC, or Remote",https://stripe.com/jobs/search?gh_jid=7463694,greenhouse
greenhouse_7396432,stripe,Alliances & Channels Sales Strategy & Operations Analytical Lead,Remote,https://stripe.com/jobs/search?gh_jid=7396432,greenhouse
greenhouse_7195991,stripe,"Analytics Lead, Privy",NYC-Privy,https://stripe.com/jobs/search?gh_jid=7195991,greenhouse
greenhouse_7311137,stripe," Android Engineer, Link",Toronto,https://stripe.com/jobs/search?gh_jid=7311137,greenhouse
greenhouse_7454473,stripe,APAC Partner Marketing Lead,"Singapore, Sydney",https://stripe.com/jobs/search?gh_jid=7454473,greenhouse
greenhouse_7277104,stripe,APAC People Consultant,Singapore,https://stripe.com/jobs/search?gh_jid=7277104,greenhouse
greenhouse_6982328,stripe,APAC Product Marketing Lead,"Singapore, Sydney",https://stripe.com/jobs/search?gh_jid=6982328,greenhouse
greenhouse_7481543,stripe,AV Broadcast Engineer,Dublin ,https://stripe.com/jobs/search?gh_jid=7481543,greenhouse
greenhouse_7518870,stripe,"Backend/ API Engineer, Bank Transfers",United Kingdom ,https://stripe.com/jobs/search?gh_jid=7518870,greenhouse
greenhouse_6176758,stripe,"Backend/API Engineer, Money as a Service",US,https://stripe.com/jobs/search?gh_jid=6176758,greenhouse
greenhouse_6176763,stripe,"Backend/API Engineer, Money as a Service (Canada)",Canada,https://stripe.com/jobs/search?gh_jid=6176763,greenhouse
greenhouse_7369543,stripe,"Backend / API Engineer, Payouts",United Kingdom,https://stripe.com/jobs/search?gh_jid=7369543,greenhouse
greenhouse_7379882,stripe,Backend Engineer ,Dublin,https://stripe.com/jobs/search?gh_jid=7379882,greenhouse
greenhouse_4921361,stripe,"Backend Engineer/API, Payments and Risk","Dublin, Ireland",https://stripe.com/jobs/search?gh_jid=4921361,greenhouse
greenhouse_6692166,stripe,"Backend Engineer/API, Payments and Risk","Toronto, Canada Remote",https://stripe.com/jobs/search?gh_jid=6692166,greenhouse
greenhouse_6623777,stripe,"Backend Engineer, Core Technology","Bucharest, Romania ",https://stripe.com/jobs/search?gh_jid=6623777,greenhouse
greenhouse_7182617,stripe,"Backend Engineer, Core Technology",Dublin,https://stripe.com/jobs/search?gh_jid=7182617,greenhouse
greenhouse_6042172,stripe,"Backend Engineer, Core Technology","Seattle, San Francisco, US-Remote",https://stripe.com/jobs/search?gh_jid=6042172,greenhouse
greenhouse_6865161,stripe,"Backend Engineer, Data",Canada,https://stripe.com/jobs/search?gh_jid=6865161,greenhouse
greenhouse_7292520,stripe,"Backend Engineer, DEeP","Toronto Canada, Remote in Canada",https://stripe.com/jobs/search?gh_jid=7292520,greenhouse
greenhouse_7316296,stripe,"Backend Engineer, Link",USA,https://stripe.com/jobs/search?gh_jid=7316296,greenhouse
greenhouse_7316285,stripe,"Backend Engineer, Link ",Toronto,https://stripe.com/jobs/search?gh_jid=7316285,greenhouse
greenhouse_6163230,stripe,"Backend Engineer, Payments and Risk",US,https://stripe.com/jobs/search?gh_jid=6163230,greenhouse
greenhouse_7217048,stripe,"Backend Engineer, Revenue and Financial Automation","Toronto, CAN-Remote",https://stripe.com/jobs/search?gh_jid=7217048,greenhouse
greenhouse_7310001,stripe,"Backend Engineer, UI Services",Barcelona,https://stripe.com/jobs/search?gh_jid=7310001,greenhouse
greenhouse_7440967,stripe,"Bank Account Management Specialist, Treasury Operations",IN-Bengaluru,https://stripe.com/jobs/search?gh_jid=7440967,greenhouse
greenhouse_7355225,stripe,Benefits Program Manager,"SF, NYC, Seattle, Chicago, Atlanta, US-Remote",https://stripe.com/jobs/search?gh_jid=7355225,greenhouse
greenhouse_7181979,stripe,Billing Solutions Architect,SF,https://stripe.com/jobs/search?gh_jid=7181979,greenhouse
greenhouse_7476752,stripe,"Brand Designer, Link",Canada,https://stripe.com/jobs/search?gh_jid=7476752,greenhouse
greenhouse_7179634,stripe,Bridge - Operations Associate ,Bengaluru,https://stripe.com/jobs/search?gh_jid=7179634,greenhouse
greenhouse_6632309,stripe,Broadcast Engineer,"San Francisco, CA ",https://stripe.com/jobs/search?gh_jid=6632309,greenhouse
greenhouse_7524334,stripe,"Business Development Manager, Agentic Commerce","San Francisco, CA; New York, NY ",https://stripe.com/jobs/search?gh_jid=7524334,greenhouse
greenhouse_7067252,stripe,"Business Development Manager, Agentic Commerce",San Francisco,https://stripe.com/jobs/search?gh_jid=7067252,greenhouse
greenhouse_7450084,stripe,"Business Development Manager, Developer Platforms","SF, NYC, Seattle, Remote",https://stripe.com/jobs/search?gh_jid=7450084,greenhouse
greenhouse_7452912,stripe,Business Recruiter (Fixed Term Contract),"Chicago, IL",https://stripe.com/jobs/search?gh_jid=7452912,greenhouse
