job_id,company,title,location,url,source
greenhouse_7415761,airbnb,"Senior Data Scientist, Marketplace",Remote,https://careers.airbnb.com/positions/7415761?gh_jid=7415761,greenhouse
greenhouse_6760488,airbnb,"Senior Manager, Machine Learning Engineering - GenAI",United Stated,https://careers.airbnb.com/positions/6760488?gh_jid=6760488,greenhouse
greenhouse_7463663,airbnb,"Senior Staff Data Engineer, Marketplaces DNA",United States,https://careers.airbnb.com/positions/7463663?gh_jid=7463663,greenhouse
greenhouse_7107054,airbnb,"Senior Staff Data Scientist, Guest & Host",Remote,https://careers.airbnb.com/positions/7107054?gh_jid=7107054,greenhouse
greenhouse_7159569,airbnb,Senior Staff Machine Learning Engineer - AI Safety and Guardrail ,United States,https://careers.airbnb.com/positions/7159569?gh_jid=7159569,greenhouse
greenhouse_7005605,airbnb,"Senior Staff Machine Learning Engineer, Communication & Connectivity",Remote - USA,https://careers.airbnb.com/positions/7005605?gh_jid=7005605,greenhouse
greenhouse_6757302,airbnb,"Senior Staff Machine Learning Engineer, Community Support Engineering",United States,https://careers.airbnb.com/positions/6757302?gh_jid=6757302,greenhouse
greenhouse_7028263,airbnb,Senior Staff Machine Learning Engineer – GenAI,United States,https://careers.airbnb.com/positions/7028263?gh_jid=7028263,greenhouse
greenhouse_6817373,airbnb,Senior Staff Machine Learning Engineer - Guest & Host,United States,https://careers.airbnb.com/positions/6817373?gh_jid=6817373,greenhouse
greenhouse_7381973,airbnb,"Senior Staff Machine Learning Engineer, Relevance and Personalization",United States ,https://careers.airbnb.com/positions/7381973?gh_jid=7381973,greenhouse
greenhouse_7516915,airbnb,"Staff, Advanced Analytics, Product",United States,https://careers.airbnb.com/positions/7516915?gh_jid=7516915,greenhouse
greenhouse_7012829,airbnb,Staff Data Engineer - Data AI-Listings & Structured Data,United States,https://careers.airbnb.com/positions/7012829?gh_jid=7012829,greenhouse
greenhouse_6619604,airbnb,"Staff Data Scientist, Inference - Customer Support",United States,https://careers.airbnb.com/positions/6619604?gh_jid=6619604,greenhouse
greenhouse_7415829,airbnb,"Staff Data Scientist, Marketplace",Remote,https://careers.airbnb.com/positions/7415829?gh_jid=7415829,greenhouse
greenhouse_7421178,airbnb,"Staff Data Scientist, Platform (Inference/Payments)",United States,https://careers.airbnb.com/positions/7421178?gh_jid=7421178,greenhouse
greenhouse_7380455,airbnb,"Staff Machine Learning Engineer, Communication & Connectivity",Remote - USA,https://careers.airbnb.com/positions/7380455?gh_jid=7380455,greenhouse
greenhouse_7116975,airbnb,Staff Machine Learning Engineer - Community Support Engineering,Remote - USA,https://careers.airbnb.com/positions/7116975?gh_jid=7116975,greenhouse
greenhouse_7454348,airbnb,"Staff Machine Learning Engineer, Listings and Host Tools Data and AI",Remote-USA,https://careers.airbnb.com/positions/7454348?gh_jid=7454348,greenhouse
greenhouse_7121624,airbnb,"Staff Machine Learning Engineer, Payments",United States,https://careers.airbnb.com/positions/7121624?gh_jid=7121624,greenhouse
greenhouse_7488879,airbnb,Strategic Finance & Analytics Intern (MBA),United States,https://careers.airbnb.com/positions/7488879?gh_jid=7488879,greenhouse
